cod_mun;codigo;digito;cidade;estado;latitude;longitude;altitude
5106281;510628;1;novo sao joaquim;mt;-14,88656526;-53,01611551;400
5106299;510629;9;paranaita;mt;-9,669655499;-56,47889972;249
5106307;510630;7;paranatinga;mt;-14,42769848;-54,05409199;460
5106315;510631;5;novo santo antonio;mt;-12,29469348;-50,96917265;0
5106372;510637;2;pedra preta;mt;-16,62221042;-54,47139564;248
5106422;510642;2;peixoto de azevedo;mt;-10,24484208;-54,9922974;346
5106455;510645;5;planalto da serra;mt;-14,66070594;-54,78349575;319
5106505;510650;5;pocone;mt;-16,25950947;-56,62650935;142
5106653;510665;3;pontal do araguaia;mt;-15,90247134;-52,25851111;370
5106703;510670;3;ponte branca;mt;-16,76764801;-52,83577573;424
5106752;510675;2;pontes e lacerda;mt;-15,22972757;-59,33800184;254
5106778;510677;8;porto alegre do norte;mt;-10,87754848;-51,63087982;205
5106802;510680;2;porto dos gauchos;mt;-11,53384003;-57,40835384;259
5106828;510682;8;porto esperidiao;mt;-15,85763486;-58,46929874;160
5106851;510685;1;porto estrela;mt;-15,33133631;-57,2013573;134
5107008;510700;8;poxoreo;mt;-15,81813556;-54,40073266;360
5107040;510704;0;primavera do leste;mt;-15,55229359;-54,30005326;465
5107065;510706;5;querencia;mt;-12,59229963;-52,20989192;0
5107107;510710;7;sao jose dos quatro marcos;mt;-15,62710574;-58,17650594;230
5107156;510715;6;reserva do cabacal;mt;-15,12240953;-58,38536453;335
5107180;510718;0;ribeirao cascalheira;mt;-12,93204856;-51,83336335;386
5107198;510719;8;ribeiraozinho;mt;-16,48652591;-52,69544173;477
5107206;510720;6;rio branco;mt;-15,23568281;-58,11793935;180
5107248;510724;8;santa carmem;mt;-11,96968556;-55,28222271;386
5107263;510726;3;santo afonso;mt;-14,49077682;-57,00050364;400
5107297;510729;7;sao jose do povo;mt;-16,46633031;-54,25624637;281
5107305;510730;5;sao jose do rio claro;mt;-13,45206834;-56,72158376;350
5107354;510735;4;sao jose do xingu;mt;-10,80026416;-52,73979364;337
5107404;510740;4;sao pedro da cipa;mt;-16,00270852;-54,91899318;264
5107578;510757;8;rondolandia;mt;-10,84430197;-61,45967817;0
5107602;510760;2;rondonopolis;mt;-16,47016287;-54,63358704;227
5107701;510770;1;rosario oeste;mt;-14,82642757;-56,42829321;192
5107743;510774;3;santa cruz do xingu;mt;-10,1524495;-52,39861597;0
5107750;510775;0;salto do ceu;mt;-15,13582457;-58,12675181;300
5107768;510776;8;santa rita do trivelato;mt;-13,81618973;-55,27769288;0
5107776;510777;6;santa terezinha;mt;-10,46611162;-50,50626644;198
5107792;510779;2;santo antonio do leste;mt;-14,8008134;-53,61172385;0
5107800;510780;0;santo antonio do leverger;mt;-15,86917904;-56,0941622;141
5107859;510785;9;sao felix do araguaia;mt;-11,61608233;-50,66198637;195
5107875;510787;5;sapezal;mt;-13,53819535;-58,81213801;370
5107883;510788;3;serra nova dourada;mt;-12,08927184;-51,39959341;0
5107909;510790;9;sinop;mt;-11,85800531;-55,500922;345
5107925;510792;5;sorriso;mt;-12,55177671;-55,72591368;365
5107941;510794;1;tabapora;mt;-11,30750796;-56,8248338;0
5107958;510795;8;tangara da serra;mt;-14,62378475;-57,49129915;387
5108006;510800;6;tapurah;mt;-12,73206863;-56,5194859;393
5108055;510805;5;terra nova do norte;mt;-10,59712809;-55,11595149;250
5108105;510810;5;tesouro;mt;-16,0752374;-53,55584396;410
5108204;510820;4;torixoreu;mt;-16,19752636;-52,55883864;335
5108303;510830;3;uniao do sul;mt;-11,53551075;-54,37484441;350
5108352;510835;2;vale de sao domingos;mt;-15,29589784;-59,06457116;0
5108402;510840;2;varzea grande;mt;-15,65806482;-56,14466374;190
5108501;510850;1;vera;mt;-12,28404886;-55,30091857;383
5108600;510860;0;vila rica;mt;-10,01335218;-51,11682258;255
5108808;510880;8;nova guarita;mt;-10,30884643;-55,40307014;300
5108857;510885;7;nova marilandia;mt;-14,36245127;-56,97317679;300
5108907;510890;7;nova maringa;mt;-13,01142695;-57,09855167;370
5108956;510895;6;nova monte verde;mt;-9,972616927;-57,47236931;330
